Provinsi,2019_1,2018_1,2017_1,2019_2,2018_2,2017_2,2019_3,2018_3,2017_3,2019_4,2018_4,2017_4
ACEH,36577651,16821377,13924348,683594,3188727,195731,365383,354741,627698,12312,57072,3503
SUMATERAUTARA,140001466,174180412,183833290,28451314,22457559,24670540,1009301,982963,712106,512431,401949,441558
SUMATERABARAT,53627185,65436217,62235590,15775761,11235623,10157884,428103,401094,393481,284134,201097,181807
RIAU,97977865,83691805,86606102,678705,1956112,4528173,166306,163047,238190,12224,35010,81046
JAMBI,31708519,52604338,40844775,1260470,977763,960322,166667,159187,159546,22702,17500,17188
SUMATERASELATAN,75763657,105342840,90910128,7595799,10027100,11099711,298062,294714,277085,136806,179466,198664
BENGKULU,7535836,6540103,5299262,601952,76051,49458,161316,157923,125483,10841,1361,885
LAMPUNG,85558337,80166716,86629377,7263647,6330158,3917254,819571,827217,674928,130824,113298,70111
KEP.BANGKABELITUNG,23265881,21562427,19130897,587410,324377,52078,14790,13760,12644,10579,5805,932
KEP.RIAU,23395884,19009466,17774468,776597,216116,1294260,26100,25464,19270,13987,3868,23164
DKIJAKARTA,17912321,6699262,7469013,2202218,1614939,2169135,2352,1840,1730,39663,28904,38823
JAWABARAT,799084155,758673864,627422064,24491231,44857022,38740176,412121,405803,405334,441107,802859,693379
JAWATENGAH,598906824,500399757,458985022,27740622,32763071,29654238,1755396,1751799,1710769,499631,586399,530757
DIYOGYAKARTA,50913586,24372273,12888243,3489305,6235984,2447247,315582,313425,309960,62845,111612,43801
JAWATIMUR,460040240,442013473,434440125,90639492,73773529,86000243,4763182,4637970,4511613,1632492,1320412,1539248
BANTEN,201162025,262336038,261706502,10686723,12183018,15205643,46046,45292,56658,192476,218054,272153
BALI,70624973,101532190,100572360,10344362,8669087,8952188,607131,560546,507794,186310,155160,160227
NUSATENGGARABARAT,37267744,27127512,29564576,1884789,1142076,709774,1242749,1183570,1149539,33946,20441,12703
NUSATENGGARATIMUR,17768227,10954699,11927711,510081,1059791,191,1087615,1027286,1007608,9186,18968,3
KALIMANTANBARAT,50676940,57169216,62345654,6407392,4491485,4111253,145623,143307,167314,115402,80389,73583
KALIMANTANTENGAH,22950119,25474270,26220101,410351,86660,73327,74285,67829,81993,7390,1551,1312
KALIMANTANSELATAN,85404221,83358923,82698233,4818033,6040318,3114253,138635,113094,164219,86776,108110,55739
KALIMANTANTIMUR,49618813,66733989,61412205,1851460,480066,568288,121033,117504,119123,33346,8592,10171
KALIMANTANUTARA,4648500,915721,97382,33705,409825,0,23607,21968,22229,607,7335,0
SULAWESIUTARA,9156076,12101735,12706875,1476215,797122,1196920,139246,111576,133115,26587,14267,21422
SULAWESITENGAH,5145411,8047874,7942814,768134,674304,303345,358496,343630,353486,13834,12068,5429
SULAWESISELATAN,75283347,101990626,97922456,10945221,7859015,8244114,1362604,1310194,1419018,197132,140662,147554
SULAWESITENGGARA,4127500,4182277,2999893,157223,255796,0,419882,298692,370772,2831,4578,0
GORONTALO,3175758,2670547,2315101,212047,345295,321190,243447,230435,227351,3819,6180,5748
SULAWESIBARAT,2006819,6800049,1460814,0,0,70463,96639,95287,94015,0,1261,
MALUKU,682325,265961,198658,34379,299,1146,84330,80034,100087,619,5,20
MALUKUUTARA,259447,113564,40657,4908,0,0,58509,58454,89636,88,0,
PAPUABARAT,721089,624490,5060799,456706,1395374,25397,51738,50991,67706,8225,24974,454
PAPUA,6433479,7793468,7050701,678158,8965,9739,112803,82309,117602,12214,160,174
INDONESIA,3149382220,3137707479,2922636196,263918004,261932627,258843681,17118650,16432945,16429102,4753382,4688120,4632834
